game_id,title,old_region,new_region_family,new_market_region,region_code,serial,languages,classification_source,confidence,action,source_urls,review_reasons,url
ps2-usa-devil-kings,Devil Kings,USA,NTSC-U/C,USA,US,SLUS-21297,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SLUS-21297.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/12408/",,/catalogo/devil-kings-ps2-pal-us
ps2-usa-devil-may-cry,Devil May Cry,USA,NTSC-U/C,USA,US,SLUS-20216,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SLUS-20216.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/432/",,/catalogo/devil-may-cry-ps2-pal-us
ps2-usa-devil-may-cry-2,Devil May Cry 2,USA,NTSC-U/C,USA,US,SLUS-20484 / SLUS-20627,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SLUS-20484.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/979/|https://redump.info/disc/980/",,/catalogo/devil-may-cry-2-ps2-pal-us
ps2-usa-devil-may-cry-2-greatest-hits,Devil May Cry 2 [Greatest Hits],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/devil-may-cry-2-greatest-hits-ps2-pal-us
ps2-usa-devil-may-cry-3,Devil May Cry 3,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,index_only_title_and_serial_not_corroborated|source_title_and_redump_serial_title_disagree,/catalogo/devil-may-cry-3-ps2-pal-us
ps2-usa-devil-may-cry-3-special-edition,Devil May Cry 3 [Special Edition],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/devil-may-cry-3-special-edition-ps2-pal-us
ps2-usa-devil-may-cry-3-special-edition-greatest-hits,Devil May Cry 3 [Special Edition Greatest Hits],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/devil-may-cry-3-special-edition-greatest-hits-ps2-pal-us
ps2-usa-devil-may-cry-5th-anniversary-collection,Devil May Cry [5th Anniversary Collection],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/devil-may-cry-5th-anniversary-collection-ps2-pal-us
ps2-usa-devil-may-cry-demo-cd,Devil May Cry [Demo CD],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/devil-may-cry-demo-cd-ps2-pal-us
ps2-usa-devil-may-cry-greatest-hits,Devil May Cry [Greatest Hits],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/devil-may-cry-greatest-hits-ps2-pal-us
ps2-usa-dice-dna-integrated-cybernetic,DICE DNA Integrated Cybernetic,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/dice-dna-integrated-cybernetic-ps2-pal-us
ps2-usa-digimon-rumble-arena-2,Digimon Rumble Arena 2,USA,NTSC-U/C,USA,US,SLUS-21067,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SLUS-21067.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/12409/",,/catalogo/digimon-rumble-arena-2-ps2-pal-us
ps2-usa-digimon-world-4,Digimon World 4,USA,NTSC-U/C,USA,US,SLUS-20836,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SLUS-20836.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/6491/",,/catalogo/digimon-world-4-ps2-pal-us
ps2-usa-digimon-world-data-squad,Digimon World Data Squad,USA,NTSC-U/C,USA,US,SLUS-21598,,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/12410/",,/catalogo/digimon-world-data-squad-ps2-pal-us
ps2-usa-dino-stalker,Dino Stalker,USA,NTSC-U/C,USA,US,SLUS-20485,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SLUS-20485.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/12411/",,/catalogo/dino-stalker-ps2-pal-us
ps2-usa-disaster-report,Disaster Report,USA,NTSC-U/C,USA,US,SLUS-20561,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SLUS-20561.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/12412/",,/catalogo/disaster-report-ps2-pal-us
ps2-usa-disgaea-2-cursed-memories,Disgaea 2 Cursed Memories,USA,NTSC-U/C,USA,US,SLUS-21397,en|ja,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/3761/",,/catalogo/disgaea-2-cursed-memories-ps2-pal-us
ps2-usa-disgaea-hour-of-darkness,Disgaea Hour of Darkness,USA,NTSC-U/C,USA,US,SLUS-20666,en|ja,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/221/",,/catalogo/disgaea-hour-of-darkness-ps2-pal-us
ps2-usa-disgaea-hour-of-darkness-greatest-hits,Disgaea Hour of Darkness [Greatest Hits],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/disgaea-hour-of-darkness-greatest-hits-ps2-pal-us
ps2-usa-disney-s-extreme-skate-adventure,Disney's Extreme Skate Adventure,USA,NTSC-U/C,USA,US,SLUS-20607,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SLUS-20607.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/12421/",,/catalogo/disney-s-extreme-skate-adventure-ps2-pal-us
ps2-usa-disney-s-stitch-experiment-626,Disney's Stitch Experiment 626,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,legacy_row_does_not_identify_a_single_regional_release,/catalogo/disney-s-stitch-experiment-626-ps2-pal-us
ps2-usa-disney-s-stitch-experiment-626-classics,Disney's Stitch Experiment 626 [Classics],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/disney-s-stitch-experiment-626-classics-ps2-pal-us
ps2-usa-disney-classics-treasure-planet,Disney Classics Treasure Planet,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/disney-classics-treasure-planet-ps2-pal-us
ps2-usa-disney-golf,Disney Golf,USA,NTSC-U/C,USA,US,SLUS-20532,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SLUS-20532.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/12420/",,/catalogo/disney-golf-ps2-pal-us
ps2-usa-disney-pixar-up,Disney Pixar Up,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,index_only_title_and_serial_not_corroborated|source_title_and_redump_serial_title_disagree,/catalogo/disney-pixar-up-ps2-pal-us
ps2-usa-disney-princess-enchanted-journey,Disney Princess Enchanted Journey,USA,NTSC-U/C,USA,US,SLUS-21660,,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/32923/",,/catalogo/disney-princess-enchanted-journey-ps2-pal-us
ps2-usa-disney-sing-it,Disney Sing It,USA,NTSC-U/C,USA,US,SLUS-21826,en|es|fr,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/12414/",,/catalogo/disney-sing-it-ps2-pal-us
ps2-usa-disney-sing-it-high-school-musical-3,Disney Sing It High School Musical 3,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/disney-sing-it-high-school-musical-3-ps2-pal-us
ps2-usa-disney-sing-it-pop-hits,Disney Sing It: Pop Hits,USA,NTSC-U/C,USA,US,SLUS-21920,en|es|fr,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/32823/",,/catalogo/disney-sing-it-pop-hits-ps2-pal-us
ps2-usa-dj-hero-game-only,DJ Hero (game only),USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/dj-hero-game-only-ps2-pal-us
ps2-usa-doa2-hardcore,DOA2: Hardcore,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,source_title_and_redump_serial_title_disagree,/catalogo/doa2-hardcore-ps2-pal-us
ps2-usa-document-of-metal-gear-solid-2,Document of Metal Gear Solid 2,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,index_only_title_and_serial_not_corroborated|no_exact_redump_serial|non_retail_disc_category|market_requires_additional_evidence,/catalogo/document-of-metal-gear-solid-2-ps2-pal-us
ps2-usa-dog-s-life,Dog's Life,USA,NTSC-U/C,USA,US,SLUS-21018,,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/34008/",,/catalogo/dog-s-life-ps2-pal-us
ps2-usa-dokapon-kingdom,Dokapon Kingdom,USA,NTSC-U/C,USA,US,SLUS-21778,,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/6444/",,/catalogo/dokapon-kingdom-ps2-pal-us
ps2-usa-donald-duck-going-quackers,Donald Duck Going Quackers,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/donald-duck-going-quackers-ps2-pal-us
ps2-usa-dora-s-big-birthday-adventure,Dora's Big Birthday Adventure,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,index_only_title_and_serial_not_corroborated|source_title_and_redump_serial_title_disagree,/catalogo/dora-s-big-birthday-adventure-ps2-pal-us
ps2-usa-dora-the-explorer-dora-saves-the-crystal-kingdom,Dora the Explorer: Dora Saves the Crystal Kingdom,USA,NTSC-U/C,USA,US,SLUS-21923,,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/32941/",,/catalogo/dora-the-explorer-dora-saves-the-crystal-kingdom-ps2-pal-us
ps2-usa-dora-the-explorer-dora-saves-the-mermaids,Dora the Explorer Dora Saves the Mermaids,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,index_only_title_and_serial_not_corroborated|source_title_and_redump_serial_title_disagree,/catalogo/dora-the-explorer-dora-saves-the-mermaids-ps2-pal-us
ps2-usa-dora-the-explorer-dora-saves-the-snow-princess,Dora the Explorer Dora Saves the Snow Princess,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,source_title_and_redump_serial_title_disagree,/catalogo/dora-the-explorer-dora-saves-the-snow-princess-ps2-pal-us
ps2-usa-dora-the-explorer-journey-to-the-purple-planet,Dora the Explorer Journey to the Purple Planet,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,index_only_title_and_serial_not_corroborated|source_title_and_redump_serial_title_disagree,/catalogo/dora-the-explorer-journey-to-the-purple-planet-ps2-pal-us
