sourceName,slug,displayName,resolution,existing
FLYING CARPETS GAMES,flying-carpets-games,FLYING CARPETS GAMES,new-exact-credit-entity,False
FORGE REPLY S.R.L.,forge-reply-s-r-l,FORGE REPLY S.R.L.,new-exact-credit-entity,False
Factor 5,factor-5,Factor 5,exact-name-or-alias,True
Fangamer,fangamer,Fangamer,exact-name-or-alias,True
Farsight Technologies,farsight-technologies,FarSight Technologies,exact-name-or-alias,True
Fatshark,fatshark,Fatshark,new-exact-credit-entity,False
Feardemic,feardemic,Feardemic,exact-name-or-alias,True
Finji,finji,Finji,exact-name-or-alias,True
First Contact Entertainment,first-contact-entertainment,First Contact Entertainment,exact-name-or-alias,True
Flazm,flazm,Flazm,new-exact-credit-entity,False
Focus Home Interactive,focus-home-interactive,Focus Home Interactive,exact-name-or-alias,True
Forever Entertainment,forever-entertainment,Forever Entertainment,exact-name-or-alias,True
FreeStyleGames,freestylegames,FreeStyleGames,exact-name-or-alias,True
FromSoftware,fromsoftware,FromSoftware,explicit-existing,True
Frontier Developments,frontier-developments,Frontier Developments,exact-name-or-alias,True
Frontier Foundry,frontier-foundry,Frontier Foundry,new-exact-credit-entity,False
Frozenbyte,frozenbyte,Frozenbyte,exact-name-or-alias,True
Funbox Media,funbox-media,Funbox Media,explicit-existing,True
Funcom,funcom,Funcom,exact-name-or-alias,True
Future Tech Lab,future-tech-lab,Future Tech Lab,new-exact-credit-entity,False
GAMEMILL ENTERTAINMENT,gamemill-entertainment,GameMill Entertainment,explicit-existing,True
GIANTS Software,giants-software,GIANTS Software,exact-name-or-alias,True
GRAFFITI GAMES,graffiti-games,Graffiti Games,exact-name-or-alias,True
GS2 GAMES,gs2-games,GS2 Games,exact-name-or-alias,True
GS2 Games,gs2-games,GS2 Games,exact-name-or-alias,True
Gaijinworks,gaijinworks,Gaijinworks,exact-name-or-alias,True
Game Arts,game-arts,Game Arts,explicit-existing,True
Game Mechanic Studios,game-mechanic-studios,Game Mechanic Studios,new-exact-credit-entity,False
GameMill Entertainment,gamemill-entertainment,GameMill Entertainment,explicit-existing,True
Gameloft Montreal,gameloft-montreal,Gameloft Montreal,new-exact-credit-entity,False
Games Farm,games-farm,Games Farm,explicit-existing,True
Gaming Minds Studios,gaming-minds-studios,Gaming Minds Studios,exact-name-or-alias,True
