catalog_id,title,target_field,role,candidate_slugs,candidate_companies,confidence_levels,group_row_count,conflict_reason,source_urls
ps4-space-hulk-deathwing-enhanced-edition,Space Hulk Deathwing Enhanced Edition,publisher,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,cyanide-studio | focus-home-interactive,Cyanide Studio | Focus Home Interactive,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://www.pricecharting.com/game/pal-playstation-4/space-hulk-deathwing-enhanced-edition
ps4-spongebob-squarepants-battle-for-bikini-bottom-rehydrated-fun-edition,SpongeBob SquarePants Battle for Bikini Bottom Rehydrated [Fun Edition],developer,DEVELOPER,purple-lamp | purple-lamp-studios,Purple Lamp | Purple Lamp Studios,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/184097 | https://store.playstation.com/es-es/product/EP4389-CUSA14909_00-SPONGEBOBBFBBEU0 | https://store.steampowered.com/app/969990 | https://www.pricecharting.com/game/pal-playstation-4/spongebob-squarepants-battle-for-bikini-bottom-rehydrated-fun-edition | https://www.wikidata.org/wiki/Q65156799
ps4-street-fighter-v-playstation-hits,Street Fighter V [Playstation Hits],developer,DEVELOPER,capcom | dimps-corporation,Capcom | Dimps Corporation,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/31573 | https://store.steampowered.com/app/310950 | https://www.pricecharting.com/game/pal-playstation-4/street-fighter-v-playstation-hits | https://www.wikidata.org/wiki/Q18608589
ps4-streets-of-rage-4-anniversary-edition,Streets of Rage 4 [Anniversary Edition],developer,DEVELOPER,dotemu | lizardcube,DotEmu | Guard Crush Games | Lizardcube,HIGH,3,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/453459 | https://store.playstation.com/es-es/product/EP1470-CUSA16221_00-00STREETSOFRAGE4 | https://store.steampowered.com/app/985890 | https://www.pricecharting.com/game/pal-playstation-4/streets-of-rage-4-anniversary-edition | https://www.wikidata.org/wiki/Q56616859
ps4-streets-of-rage-4-signature-edition,Streets of Rage 4 [Signature Edition],developer,DEVELOPER,dotemu | lizardcube,DotEmu | Guard Crush Games | Lizardcube,HIGH,3,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://store.playstation.com/es-es/product/EP1470-CUSA16221_00-00STREETSOFRAGE4 | https://store.steampowered.com/app/985890 | https://www.pricecharting.com/game/pal-playstation-4/streets-of-rage-4-signature-edition | https://www.wikidata.org/wiki/Q56616859
ps4-surviving-the-aftermath-day-one-edition,Surviving the Aftermath [Day One Edition],publisher,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,koch-media | paradox-interactive,KOCH Media | Paradox Interactive,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://www.pricecharting.com/game/pal-playstation-4/surviving-the-aftermath-day-one-edition
ps4-syndrome,Syndrome,developer,DEVELOPER,bigmoon-entertainment | camel-101,Bigmoon Entertainment | Camel 101,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://gamesdb.launchbox-app.com/games/details/466457 | https://store.playstation.com/es-es/product/EP2643-CUSA06636_00-BGMNSYNDROME00UK | https://store.steampowered.com/app/409320 | https://www.pricecharting.com/game/pal-playstation-4/syndrome
ps4-the-council,The Council,developer,DEVELOPER,big-bad-wolf | cyanide-studio,Big Bad Wolf | Cyanide Studio,HIGH | VERY_HIGH,2,MULTIPLE_HIGH_COMPANIES,https://store.playstation.com/es-es/product/EP4133-CUSA10766_00-THECOUNCILEPISO1 | https://store.steampowered.com/app/287630 | https://www.pricecharting.com/game/pal-playstation-4/the-council
ps4-the-king%27s-bird,The King's Bird,publisher,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,graffiti-games | strictly-limited,Graffiti Games | Strictly Limited,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://www.pricecharting.com/game/pal-playstation-4/the-king%27s-bird
ps4-the-persistence,The Persistence,publisher,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,firesprite | perpetual,Firesprite | Perpetual-Europe Ltd.,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://www.pricecharting.com/game/pal-playstation-4/the-persistence
ps4-the-survivalists,The Survivalists,developer,DEVELOPER,team17 | team17-digital-limited,Team17 | Team17 Digital Limited,HIGH | VERY_HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://store.playstation.com/es-es/product/EP4064-CUSA16146_00-SURVIVALISTS0000 | https://store.steampowered.com/app/897450 | https://www.wikidata.org/wiki/Q99992123
ps4-tiny-troopers-joint-ops,Tiny Troopers: Joint Ops,publisher,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,play-it | system-3,Play It Ltd. | System 3,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://www.pricecharting.com/game/pal-playstation-4/tiny-troopers-joint-ops
ps4-tour-de-france-2020,Tour De France 2020,developer,DEVELOPER,cyanide-sa | cyanide-studio,Cyanide SA | Cyanide Studio,HIGH | VERY_HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://store.playstation.com/es-es/product/EP4008-CUSA18652_00-TDF20SIEE0000000 | https://store.steampowered.com/app/1287590
ps4-under-night-in-birth-exelate-st,Under Night In-Birth Exe:Late St,developer,DEVELOPER,arc-system-works | french-bread,Arc System Works | French Bread,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://store.playstation.com/es-es/product/EP4293-CUSA09420_00-UNIEXEST00000000 | https://www.pricecharting.com/game/pal-playstation-4/under-night-in-birth-exelate-st | https://www.wikidata.org/wiki/Q123183766
ps4-under-night-in-birth-exelate-st-end-of-dawn-edition,Under Night In-Birth Exe:Late St [End of Dawn Edition],developer,DEVELOPER,arc-system-works | french-bread,Arc System Works | French Bread,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://store.playstation.com/es-es/product/EP4293-CUSA09420_00-UNIEXEST00000000 | https://www.pricecharting.com/game/pal-playstation-4/under-night-in-birth-exelate-st-end-of-dawn-edition | https://www.wikidata.org/wiki/Q123183766
ps4-utawarerumono-zan,Utawarerumono: ZAN,developer,DEVELOPER,aquaplus | tamsoft,AquaPlus | Tamsoft Corporation,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/443053 | https://store.steampowered.com/app/3074840 | https://www.pricecharting.com/game/pal-playstation-4/utawarerumono-zan
ps4-utawarerumono-zan-unmasked-edition,Utawarerumono: ZAN [Unmasked Edition],developer,DEVELOPER,aquaplus | tamsoft,AquaPlus | Tamsoft Corporation,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/443053 | https://store.steampowered.com/app/3074840 | https://www.pricecharting.com/game/pal-playstation-4/utawarerumono-zan-unmasked-edition
ps4-valkyria-revolution,Valkyria Revolution,developer,DEVELOPER,media-vision | sega,Media Vision | Sega,HIGH | VERY_HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://store.playstation.com/es-es/product/EP4062-CUSA06995_00-ARVALKYRIE000100 | https://www.pricecharting.com/game/pal-playstation-4/valkyria-revolution
ps4-vampire-the-masquerade-swansong,Vampire: The Masquerade Swansong,developer,DEVELOPER,big-bad-wolf | cyanide-studio,Big Bad Wolf | Cyanide Studio,HIGH | VERY_HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://store.playstation.com/es-es/product/EP6665-CUSA33241_00-VTMS000000000000 | https://store.steampowered.com/app/1299510 | https://www.wikidata.org/wiki/Q71581461
ps4-z-warp,Z-Warp,publisher,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,eastasiasoft | red-art-games,EastAsiaSoft | Red Art Games,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://www.pricecharting.com/game/pal-playstation-4/z-warp
