game_id,title,old_region,new_region_family,new_market_region,region_code,serial,languages,classification_source,confidence,action,source_urls,review_reasons,url
ps1-007-racing,007 Racing,PAL España,PAL,Germany,DE,SLES-03357,de,redump-org,high,MOVED,"https://psxdatacenter.com/games/P/0-9/SLES-03357.html|http://redump.org/datfile/psx/serial,version|https://redump.info/disc/17273/",,/catalogo/007-racing-ps1-pal-es
ps1-007-racing-platinum,007 Racing [Platinum],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/007-racing-platinum-ps1-pal-es
ps1-007-the-world-is-not-enough,007 The World is Not Enough,PAL España,PAL,Europe,EU,SLES-03134,en,redump-org,high,MOVED,"https://psxdatacenter.com/games/P/0-9/SLES-03134.html|http://redump.org/datfile/psx/serial,version|https://redump.info/disc/968/",,/catalogo/007-the-world-is-not-enough-ps1-pal-es
ps1-007-the-world-is-not-enough-platinum,007 The World is Not Enough [Platinum],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/007-the-world-is-not-enough-platinum-ps1-pal-es
ps1-007-tomorrow-never-dies,007 Tomorrow Never Dies,PAL España,PAL,Europe,EU,SLES-01324,en,redump-org,high,MOVED,"https://psxdatacenter.com/games/P/0-9/SLES-01324.html|http://redump.org/datfile/psx/serial,version|https://redump.info/disc/967/",,/catalogo/007-tomorrow-never-dies-ps1-pal-es
ps1-007-tomorrow-never-dies-platinum,007 Tomorrow Never Dies [Platinum],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/007-tomorrow-never-dies-platinum-ps1-pal-es
ps1-007-tomorrow-never-dies-&amp;-007-the-world-is-not-enough,007: Tomorrow Never Dies & 007: The World Is Not Enough,PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/007-tomorrow-never-dies-007-the-world-is-not-enough-ps1-pal-es
ps1-100-percent-star,100 Percent Star,PAL España,PAL,,,,,review,unresolved,REVIEW,,legacy_row_does_not_identify_a_single_regional_release,/catalogo/100-percent-star-ps1-pal-es
ps1-102-dalmatians-puppies-to-the-rescue,102 Dalmatians: Puppies to the Rescue,PAL España,PAL,,,,,review,unresolved,REVIEW,,legacy_row_does_not_identify_a_single_regional_release,/catalogo/102-dalmatians-puppies-to-the-rescue-ps1-pal-es
ps1-2-games-cold-blood-&#43;-syphon-filter,2 Games Cold Blood + Syphon Filter,PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/2-games-cold-blood-syphon-filter-ps1-pal-es
ps1-2-games-driver-&#43;-driver-2,2 Games Driver + Driver 2,PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/2-games-driver-driver-2-ps1-pal-es
ps1-2-games-syphon-filter-2-&#43;-cold-blood,2 Games Syphon Filter 2 + Cold Blood,PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/2-games-syphon-filter-2-cold-blood-ps1-pal-es
