row,serial,title,market,serial_scope,languages_index,languages_detail,libretro_regions,review_reasons,source_urls
164,SLES-03324,ASTERIX - MEGA MADNESS,Europe,disc,E|F|G|Du|I|S,de|en|es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/A/SLES-03324.html
166,SLES-02473,ASTERIX & OBELIX - CONTRA CESAR,Europe,disc,S|Sw|N,es|sv,Europe,,https://psxdatacenter.com/games/P/A/SLES-02473.html
179,SLES-01605 SLES-11605 SLES-21605,ATLANTIS - THE LOST TALES - [ 3 DISCS ],Europe,disc,E|S|Du|Sw,en|es|nl|sv,Europe,,https://psxdatacenter.com/games/P/A/SLES-01605.html
180,SLES-01718,ATTACK OF THE SAUCERMAN!,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/A/SLES-01718.html
185,SLES-00909,AUTO DESTRUCT,Europe,disc,E|F|G|S|Sw,de|en|es|fr|sv,Europe,,https://psxdatacenter.com/games/P/A/SLES-00909.html
191,SLES-03109,AZTECAS - LA MALDICIÓN DE LA CIUDAD DEL ORO,Europe,disc,S|I,es|it,Europe,,https://psxdatacenter.com/games/P/A/SLES-03109.html
193,SLES-01260,B-MOVIE,Europe,disc,E|I|S,en|es|it,Europe,,https://psxdatacenter.com/games/P/B/SLES-01260.html
195,SLES-03991,BABY FELIX TENNIS,Europe,disc,E|F|G|I|N|S,de|en|es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/B/SLES-03991.html
200,SLES-00647,BALLBLAZER CHAMPIONS,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/B/SLES-00647.html
210,SLES-03696,BARBIE EXPLORER,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/B/SLES-03696.html
214,SCES-02369,BARBIE - RACE & RIDE,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/B/SCES-02369.html
219,SCES-02491,BARBIE SUPER SPORTS,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/B/SCES-02491.html
220,SLES-02615,BARCA MANAGER 2000,Spain,disc,S|Ca,es,Spain,,https://psxdatacenter.com/games/P/B/SLES-02615.html
221,SLES-00102,BATMAN & ROBIN,Europe,disc,E|F|G|S,de|en|es|fr,Europe,,https://psxdatacenter.com/games/P/B/SLES-00102.html
223,SLES-02874,BATMAN - GOTHAM CITY RACER,Europe,disc,E|F|G|I|S|Du,de|en|es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/B/SLES-02874.html
